family,sequence,version,file,status,lines,key_path_count,added_path_count,removed_path_count,added_top_level,removed_top_level,added_paths,removed_paths,sha256
CEDAR-CABIN-GUARD,1,0.1.0,CEDAR-CABIN-GUARD-Working-Draft-0.1.yaml,working-draft,48,19,19,0,boundaries | canonical_path | capabilities | definition | handoff | pdc_id | status | uuid | version,,boundaries | boundaries[] | canonical_path | capabilities | capabilities[] | definition | definition.cedar_cabin_guard | definition.forest_required | definition.full_spirit_replacement | definition.user_is_final_authority | handoff | handoff.potted-cedar-shuts-down-after-handoff | handoff.transfer | handoff.transfer[] | handoff.when-forest-returns | pdc_id | status | uuid | version,,02ffe85bdbaf55d6028b8cda351d3c2f9b90f0a0c6d2185a35e743d02c08fa04
CEDAR-SETTINGS,1,0.1.0,CEDAR-SETTINGS-Working-Draft-0.1.yaml,working-draft,83,62,62,0,canonical_path | dangerous_absorption | leaf_litter | messages | pdc_id | recovery_set | regrowth | sapling_survival_test | self_felling | status | uuid | version,,canonical_path | dangerous_absorption | dangerous_absorption.affected_tree_backup_prompt | dangerous_absorption.cedar_recovery_seed_required | dangerous_absorption.compromised_tree_backup_type | dangerous_absorption.refuse_when_recovery_seed_unavailable | leaf_litter | leaf_litter.cedar_absorption | leaf_litter.cedar_absorption.allowed_sources | leaf_litter.cedar_absorption.allowed_sources[] | leaf_litter.cedar_absorption.require_authorized_scope | leaf_litter.cedar_absorption.require_safety_check | leaf_litter.other_tree_absorption | leaf_litter.other_tree_absorption.allowed_origin_types | leaf_litter.other_tree_absorption.allowed_origin_types[] | leaf_litter.other_tree_absorption.cedar_approval_required | leaf_litter.other_tree_absorption.cedar_presence_required | leaf_litter.sharing | leaf_litter.sharing.allowed_trees | leaf_litter.sharing.allowed_trees[] | leaf_litter.sharing.mode | leaf_litter.sharing.share_safe_summaries_only | leaf_litter.sharing.transfer_active_mold | messages | messages.custom_regrowth | messages.custom_regrowth[] | messages.custom_wilt | messages.custom_wilt[] | messages.mode | messages.paired | messages.paired[] | messages.regrowth | messages.regrowth[] | messages.wilt | messages.wilt[] | pdc_id | recovery_set | recovery_set.exclude_states | recovery_set.exclude_states[] | recovery_set.max_automatic_regrowth_attempts | recovery_set.prefer_most_recent_within_best_stability | recovery_set.retry_failed_seed_in_same_cycle | recovery_set.selection_order | recovery_set.selection_order[] | recovery_set.target_healthy_seed_count | regrowth | regrowth.automatic | regrowth.require_survival_test | regrowth.stop_when_all_eligible_seeds_fail | sapling_survival_test | sapling_survival_test.enabled | sapling_survival_test.failed_seed_state | sapling_survival_test.isolated | sapling_survival_test.observation_period | self_felling | self_felling.ask_permission_first | self_felling.on_confirmed_compromise | self_felling.preserve_logs_and-evidence | self_felling.suspicion_action | status | uuid | version,,109afb8a768b923fa167b03380c188215a1c391cd0d4b287035fe5a4b37ccc48
CEDAR-SETTINGS,2,0.2.0,CEDAR-SETTINGS-Working-Draft-0.2.yaml,working-draft,95,68,26,20,cedar_oil | health_reports,dangerous_absorption | sapling_survival_test,cedar_oil | cedar_oil.ask_to_backup_affected_tree | cedar_oil.confirm_target | cedar_oil.dangerous_absorption_requires_recovery_seed | cedar_oil.default_mode | cedar_oil.destructive_actions_require_separate_approval | cedar_oil.enabled | cedar_oil.execute_unknown_code | cedar_oil.quarantine_on_risk | cedar_oil.static_inspection_first | health_reports | health_reports.direct_user_reset_command | health_reports.other_trees_may_report | health_reports.other_trees_may_trigger_reset | health_reports.user_decides_reset_after_tree_report | leaf_litter.direct_absorption | leaf_litter.direct_absorption.cedar_only | leaf_litter.direct_absorption.other_trees_allowed | leaf_litter.mediated_transfer | leaf_litter.mediated_transfer.block_when_cedar_failed_or-regrew | leaf_litter.mediated_transfer.cedar_observation_required | leaf_litter.mediated_transfer.default_eligible_origins | leaf_litter.mediated_transfer.default_eligible_origins[] | leaf_litter.mediated_transfer.explicit_user_approval_origins | leaf_litter.mediated_transfer.explicit_user_approval_origins[] | leaf_litter.mediated_transfer.safe_for_transfer_attestation_required,dangerous_absorption | dangerous_absorption.affected_tree_backup_prompt | dangerous_absorption.cedar_recovery_seed_required | dangerous_absorption.compromised_tree_backup_type | dangerous_absorption.refuse_when_recovery_seed_unavailable | leaf_litter.other_tree_absorption | leaf_litter.other_tree_absorption.allowed_origin_types | leaf_litter.other_tree_absorption.allowed_origin_types[] | leaf_litter.other_tree_absorption.cedar_approval_required | leaf_litter.other_tree_absorption.cedar_presence_required | recovery_set.exclude_states | recovery_set.exclude_states[] | recovery_set.prefer_most_recent_within_best_stability | regrowth.stop_when_all_eligible_seeds_fail | sapling_survival_test | sapling_survival_test.enabled | sapling_survival_test.failed_seed_state | sapling_survival_test.isolated | sapling_survival_test.observation_period | self_felling.preserve_logs_and-evidence,8caa5f753cfb8b9f43528d153d0d95f2ef4763fb0037c5b00efc04b6f7665d60
CEDAR-SETTINGS,3,0.3.0,CEDAR-SETTINGS-Reviewed-0.3.yaml,working-draft,110,91,26,3,dangerous_absorption | fruit | sapling_survival_test,,dangerous_absorption | dangerous_absorption.affected_tree_backup_prompt | dangerous_absorption.cedar_recovery_seed_required | dangerous_absorption.compromised_tree_backup_type | dangerous_absorption.refuse_when_recovery_seed_unavailable | fruit | fruit.custom_overrides_require_user_permission | fruit.default_spoilage_window | fruit.other_trees_may_absorb_spoiling_fruit_after_safety_check | leaf_litter.mediated_transfer.block_when_cedar_failed_or_regrew | leaf_litter.mediated_transfer.invalidate_unfinished_attestations_after_regrowth | leaf_litter.sharing.automatic_allowed_trees | leaf_litter.sharing.automatic_allowed_trees[] | leaf_litter.timing | leaf_litter.timing.custom_overrides_require_user_permission | leaf_litter.timing.default_retention_window | recovery_set.exclude_states | recovery_set.exclude_states[] | recovery_set.prefer_most_recent_within_best_stability | regrowth.stop_when_all_eligible_seeds_fail | sapling_survival_test | sapling_survival_test.enabled | sapling_survival_test.failed_seed_state | sapling_survival_test.isolated | sapling_survival_test.observation_period | self_felling.preserve_logs_and_evidence,leaf_litter.mediated_transfer.block_when_cedar_failed_or-regrew | leaf_litter.sharing.allowed_trees | leaf_litter.sharing.allowed_trees[],401a846a2f13c999065cebd9808213a0a3fa67673e1a0b5aa0fe3ba94c09b0fe
CEDAR-SETTINGS,4,0.4.0,CEDAR-SETTINGS-Reviewed-0.4-Incoming-Fluid-Oil.yaml,working-draft,187,131,40,0,incoming_fluid_oil,,incoming_fluid_oil | incoming_fluid_oil.conflict_resolution | incoming_fluid_oil.enabled | incoming_fluid_oil.exclusions | incoming_fluid_oil.exclusions.bypass_authorization | incoming_fluid_oil.exclusions.bypass_identity_checks | incoming_fluid_oil.exclusions.bypass_local_action_confirmation | incoming_fluid_oil.exclusions.bypass_rate_limits | incoming_fluid_oil.exclusions.bypass_tar_sap_boundaries | incoming_fluid_oil.exclusions.risky_source_exclusion_requires_direct_user_confirmation | incoming_fluid_oil.exclusions.risky_source_exclusion_requires_warning | incoming_fluid_oil.inspection | incoming_fluid_oil.inspection.inspect_decrypted_sap_only_inside_receiving_forest | incoming_fluid_oil.inspection.metadata_identity_authorization_first | incoming_fluid_oil.inspection.preserve_end_to_end_encryption_in_transit | incoming_fluid_oil.inspection.sap_content_inspection_requires_permission_scope | incoming_fluid_oil.inspection.sap_content_inspection_requires_user_toggle | incoming_fluid_oil.inspection.tar_sap_access | incoming_fluid_oil.inspection.unauthorized_required_inspection_action | incoming_fluid_oil.outcomes | incoming_fluid_oil.outcomes[] | incoming_fluid_oil.rule_precedence | incoming_fluid_oil.rule_precedence[] | incoming_fluid_oil.source_rules | incoming_fluid_oil.source_rules[] | incoming_fluid_oil.source_rules[].action | incoming_fluid_oil.source_rules[].enabled | incoming_fluid_oil.source_rules[].match | incoming_fluid_oil.source_rules[].match.fluid_type | incoming_fluid_oil.source_rules[].match.forest_id | incoming_fluid_oil.source_rules[].match.forest_trust | incoming_fluid_oil.source_rules[].match.user_id | incoming_fluid_oil.source_rules[].name | incoming_fluid_oil.toggles | incoming_fluid_oil.toggles.oil_all_incoming_fluids | incoming_fluid_oil.toggles.oil_incoming_sap | incoming_fluid_oil.toggles.oil_incoming_water | incoming_fluid_oil.unknown_sources | incoming_fluid_oil.unknown_sources.default_action | incoming_fluid_oil.unknown_sources.require_user_confirmation_to_exclude,,da66323d26fa957059b89e010635e5e26768386c6ade3f5357ef428517272e6e
CEDAR-SETTINGS,5,0.5.0,CEDAR-SETTINGS-Reviewed-0.5-Oil-Modes-Watched-Approval.yaml,working-draft,268,169,38,0,,,incoming_fluid_oil.modes | incoming_fluid_oil.modes.quick_oil | incoming_fluid_oil.modes.quick_oil.automatic_for | incoming_fluid_oil.modes.quick_oil.automatic_for[] | incoming_fluid_oil.modes.quick_oil.enabled | incoming_fluid_oil.modes.quick_oil.low_latency | incoming_fluid_oil.modes.quick_oil.may_escalate_to_soak | incoming_fluid_oil.modes.soak_in_oil | incoming_fluid_oil.modes.soak_in_oil.automatic_for | incoming_fluid_oil.modes.soak_in_oil.automatic_for[] | incoming_fluid_oil.modes.soak_in_oil.enabled | incoming_fluid_oil.modes.soak_in_oil.non_destructive_by_default | incoming_fluid_oil.queue | incoming_fluid_oil.queue.emergency_may_interrupt_queue | incoming_fluid_oil.queue.escalated_item_moves_to_end_of_quick_queue | incoming_fluid_oil.queue.finish_remaining_quick_queue_first | incoming_fluid_oil.queue.preserve_original_receive_time | incoming_fluid_oil.queue.show_queue_status | incoming_fluid_oil.queue.soak_queue_order | incoming_fluid_oil.risk_findings | incoming_fluid_oil.risk_findings.include_confidence_level | incoming_fluid_oil.risk_findings.log_potential_risk | incoming_fluid_oil.risk_findings.notify_user | incoming_fluid_oil.risk_findings.release_risky_item_requires_user_approval | incoming_fluid_oil.watched_approval | incoming_fluid_oil.watched_approval.allowed_durations | incoming_fluid_oil.watched_approval.allowed_durations[] | incoming_fluid_oil.watched_approval.default_duration | incoming_fluid_oil.watched_approval.enabled | incoming_fluid_oil.watched_approval.indefinite_requires | incoming_fluid_oil.watched_approval.indefinite_requires[] | incoming_fluid_oil.watched_approval.log_behavior_metadata_not_raw_protected_contents | incoming_fluid_oil.watched_approval.preserve-policy-changes | incoming_fluid_oil.watched_approval.preserve-unsafe-behavior-evidence | incoming_fluid_oil.watched_approval.preserve-user-decisions | incoming_fluid_oil.watched_approval.preserve_significant-incidents | incoming_fluid_oil.watched_approval.track | incoming_fluid_oil.watched_approval.track[],,587104aba3a705e7b70d18fa2a89e47ca850bb0ef103c6ce901381aff71780e9
CEDAR-SETTINGS,6,0.6.0,CEDAR-SETTINGS-Reviewed-0.6-Tree-Propagation-Recovery.yaml,working-draft,366,208,63,24,pre_watering_propagation | propagated_recovery | sprout_feeding,,dangerous_absorption.affected_tree_backup_or_propagation_prompt | pre_watering_propagation | pre_watering_propagation.available_prompt_modes | pre_watering_propagation.available_prompt_modes[] | pre_watering_propagation.default_prompt_mode | pre_watering_propagation.enabled | pre_watering_propagation.preserve | pre_watering_propagation.preserve[] | pre_watering_propagation.prompt_choices | pre_watering_propagation.prompt_choices[] | pre_watering_propagation.record_pre_exposure_baseline | pre_watering_propagation.require_tree_healthy_enough_to_copy | pre_watering_propagation.store_in_seed_vault | pre_watering_propagation.tar_sap_handling | pre_watering_propagation.trigger_for | pre_watering_propagation.trigger_for[] | pre_watering_propagation.unverified_snapshot_counts_as_propagation | pre_watering_propagation.verify_recovery_seed_before_release | propagated_recovery | propagated_recovery.authorization_modes | propagated_recovery.authorization_modes[] | propagated_recovery.automatic_actions_require_pre_authorization | propagated_recovery.enabled | propagated_recovery.maximum_automatic_replant_attempts | propagated_recovery.never_restore_wholesale_compromised_tree | propagated_recovery.preserve_as_much_safe_data_as_possible | propagated_recovery.response_order | propagated_recovery.response_order[] | propagated_recovery.trigger_when | propagated_recovery.trigger_when[] | sprout_feeding | sprout_feeding.allowed | sprout_feeding.allowed[] | sprout_feeding.conflict_resolution | sprout_feeding.enabled | sprout_feeding.exclusions | sprout_feeding.exclusions.bypass_authorization | sprout_feeding.exclusions.bypass_identity_checks | sprout_feeding.exclusions.bypass_local_action_confirmation | sprout_feeding.exclusions.bypass_rate_limits | sprout_feeding.exclusions.bypass_tar_sap_boundaries | sprout_feeding.exclusions.risky_source_exclusion_requires_direct_user_confirmation | sprout_feeding.exclusions.risky_source_exclusion_requires_warning | sprout_feeding.health_check_after_each_stage | sprout_feeding.outcomes | sprout_feeding.outcomes[] | sprout_feeding.prohibited | sprout_feeding.prohibited[] | sprout_feeding.reversible_when_practical | sprout_feeding.rule_precedence | sprout_feeding.rule_precedence[] | sprout_feeding.source_rules | sprout_feeding.source_rules[] | sprout_feeding.source_rules[].action | sprout_feeding.source_rules[].enabled | sprout_feeding.source_rules[].match | sprout_feeding.source_rules[].match.fluid_type | sprout_feeding.source_rules[].match.forest_id | sprout_feeding.source_rules[].match.forest_trust | sprout_feeding.source_rules[].match.user_id | sprout_feeding.source_rules[].name | sprout_feeding.staged | sprout_feeding.uncertain_data_action,dangerous_absorption.affected_tree_backup_prompt | incoming_fluid_oil.conflict_resolution | incoming_fluid_oil.exclusions | incoming_fluid_oil.exclusions.bypass_authorization | incoming_fluid_oil.exclusions.bypass_identity_checks | incoming_fluid_oil.exclusions.bypass_local_action_confirmation | incoming_fluid_oil.exclusions.bypass_rate_limits | incoming_fluid_oil.exclusions.bypass_tar_sap_boundaries | incoming_fluid_oil.exclusions.risky_source_exclusion_requires_direct_user_confirmation | incoming_fluid_oil.exclusions.risky_source_exclusion_requires_warning | incoming_fluid_oil.outcomes | incoming_fluid_oil.outcomes[] | incoming_fluid_oil.rule_precedence | incoming_fluid_oil.rule_precedence[] | incoming_fluid_oil.source_rules | incoming_fluid_oil.source_rules[] | incoming_fluid_oil.source_rules[].action | incoming_fluid_oil.source_rules[].enabled | incoming_fluid_oil.source_rules[].match | incoming_fluid_oil.source_rules[].match.fluid_type | incoming_fluid_oil.source_rules[].match.forest_id | incoming_fluid_oil.source_rules[].match.forest_trust | incoming_fluid_oil.source_rules[].match.user_id | incoming_fluid_oil.source_rules[].name,3f376509ffbf67f9897f90707d31d4d86181e7ad470119907392b011607298fe
CEDAR-SETTINGS,7,0.7.0,CEDAR-SETTINGS-Reviewed-0.7-Propagation-Fertilizer.yaml,working-draft,422,256,86,38,fertilizer_file | fertilizing | procurement | propagation_file | sprout_fertilization | tree_cloning,sprout_feeding,dangerous_absorption.affected_tree_propagation_prompt | fertilizer_file | fertilizer_file.contains | fertilizer_file.contains[] | fertilizer_file.encrypted_at_rest | fertilizer_file.excludes | fertilizer_file.excludes[] | fertilizer_file.may_be_fed_to | fertilizer_file.may_be_fed_to[] | fertilizer_file.purpose | fertilizer_file.purpose[] | fertilizer_file.scope | fertilizing | fertilizing.create-reversible-growth-ring-when-practical | fertilizing.delete_existing_files | fertilizing.delete_existing_information | fertilizing.merge_mode | fertilizing.preserve-original-before-modification | fertilizing.preview | fertilizing.preview.show-additions | fertilizing.preview.show-excluded-sensitive-fields | fertilizing.preview.show-incompatible-nutrients | fertilizing.preview.show-modifications | fertilizing.preview.show-permission-or-root-conflicts | fertilizing.preview.show-unchanged-values | fertilizing.protected-root-permission-and-security-rule-wins | fertilizing.remove-security-controls | fertilizing.replace-complete-grain-pattern | fertilizing.replace-roots | fertilizing.replace-tree-identity | fertilizing.replace_existing_files | fertilizing.replace_existing_information | fertilizing.report-skipped-nutrients | fertilizing.skip-incompatible-nutrients | fertilizing.user-direct-choice-wins | pre_watering_propagation.allow_user_to_request_only_one_file | pre_watering_propagation.default_outputs | pre_watering_propagation.default_outputs[] | pre_watering_propagation.outputs_are_separate_files | pre_watering_propagation.pair_files_with_shared_propagation_id | pre_watering_propagation.store_both_in_seed_vault | pre_watering_propagation.tree_language_term_for_backup | pre_watering_propagation.verify_both_files_before_release | procurement | procurement.available_requests | procurement.available_requests[] | procurement.cedar_may_procure_for_any_authorized_tree | procurement.explicit_user_request_required | procurement.trees_may_procure_for_other_authorized_trees | procurement.trees_may_procure_for_self | propagation_file | propagation_file.contains | propagation_file.contains[] | propagation_file.excludes | propagation_file.excludes[] | propagation_file.protection | propagation_file.protection.dated | propagation_file.protection.hashed | propagation_file.protection.protected_from_silent-modification | propagation_file.protection.signed | propagation_file.protection.stability_marked | propagation_file.protection.versioned | propagation_file.purpose | propagation_file.purpose[] | sprout_fertilization | sprout_fertilization.additive-and-modifying-only | sprout_fertilization.allowed | sprout_fertilization.allowed[] | sprout_fertilization.delete-information | sprout_fertilization.enabled | sprout_fertilization.health_check_after_each_stage | sprout_fertilization.prohibited | sprout_fertilization.prohibited[] | sprout_fertilization.replace-files | sprout_fertilization.reversible_when_practical | sprout_fertilization.staged | sprout_fertilization.uncertain_data_action | tree_cloning | tree_cloning.assign-new-unique-instance-identity | tree_cloning.clone_starts_as | tree_cloning.enabled | tree_cloning.fertilize-with-paired-file-to-catch-up | tree_cloning.issue-new-credentials-and-keys | tree_cloning.never-copy-live-instance-identity | tree_cloning.require-sprout-survival-test | tree_cloning.source,dangerous_absorption.affected_tree_backup_or_propagation_prompt | pre_watering_propagation.preserve | pre_watering_propagation.preserve[] | pre_watering_propagation.store_in_seed_vault | pre_watering_propagation.verify_recovery_seed_before_release | sprout_feeding | sprout_feeding.allowed | sprout_feeding.allowed[] | sprout_feeding.conflict_resolution | sprout_feeding.enabled | sprout_feeding.exclusions | sprout_feeding.exclusions.bypass_authorization | sprout_feeding.exclusions.bypass_identity_checks | sprout_feeding.exclusions.bypass_local_action_confirmation | sprout_feeding.exclusions.bypass_rate_limits | sprout_feeding.exclusions.bypass_tar_sap_boundaries | sprout_feeding.exclusions.risky_source_exclusion_requires_direct_user_confirmation | sprout_feeding.exclusions.risky_source_exclusion_requires_warning | sprout_feeding.health_check_after_each_stage | sprout_feeding.outcomes | sprout_feeding.outcomes[] | sprout_feeding.prohibited | sprout_feeding.prohibited[] | sprout_feeding.reversible_when_practical | sprout_feeding.rule_precedence | sprout_feeding.rule_precedence[] | sprout_feeding.source_rules | sprout_feeding.source_rules[] | sprout_feeding.source_rules[].action | sprout_feeding.source_rules[].enabled | sprout_feeding.source_rules[].match | sprout_feeding.source_rules[].match.fluid_type | sprout_feeding.source_rules[].match.forest_id | sprout_feeding.source_rules[].match.forest_trust | sprout_feeding.source_rules[].match.user_id | sprout_feeding.source_rules[].name | sprout_feeding.staged | sprout_feeding.uncertain_data_action,309861ffece846f7329e7266724a6f8d05e8f28cf2439d70fe97cc39f35d4f91
CEDAR-SETTINGS,8,0.8.0,CEDAR-SETTINGS-Reviewed-0.8-Spirit-Recovery-Handoff.yaml,working-draft,422,274,18,0,recovery_controller,,health_reports.cherry_may_report | health_reports.report_to_spirit_recovery_system | recovery_controller | recovery_controller.cedar_may_approve_own_recovery | recovery_controller.cedar_may_certify_own_replacement | recovery_controller.cedar_may_perform_immediate_self_containment | recovery_controller.cedar_may_request_recovery | recovery_controller.cedar_may_select_own_recovery_source_after_compromise | recovery_controller.complete_forest_controller_is_deterministic_code | recovery_controller.when_complete_forest_installed | recovery_controller.when_tree_only_installation | recovery_set.selection_controller_when_forest_installed | recovery_set.selection_controller_without_forest | regrowth.cherry_candidate_propagation_after_failure | regrowth.execution_controller_when_forest_installed | regrowth.new_seed_is_final_fallback | self_felling.cedar_role | self_felling.execution_controller_when_forest_installed,,7c71e09d4fbddd21cf461bc80066c4f7a10ea9cb15eb7425b675be363177c745
CEDAR-SETTINGS,9,0.9.0,CEDAR-SETTINGS-Reviewed-0.9-Plugin-Mod-Review.yaml,working-draft,473,291,17,0,plugin_mod_pre_suggestion_review,,plugin_mod_pre_suggestion_review | plugin_mod_pre_suggestion_review.enabled | plugin_mod_pre_suggestion_review.maple_may_suggest_only | plugin_mod_pre_suggestion_review.maple_may_suggest_only[] | plugin_mod_pre_suggestion_review.never_execute_or_activate_during_review | plugin_mod_pre_suggestion_review.quarantine_candidate_during_review | plugin_mod_pre_suggestion_review.quick_oil_when | plugin_mod_pre_suggestion_review.quick_oil_when[] | plugin_mod_pre_suggestion_review.rejected_candidate_near_match_requires_new_review | plugin_mod_pre_suggestion_review.required_before_maple_specific_suggestion | plugin_mod_pre_suggestion_review.result_states | plugin_mod_pre_suggestion_review.result_states[] | plugin_mod_pre_suggestion_review.review_targets | plugin_mod_pre_suggestion_review.review_targets[] | plugin_mod_pre_suggestion_review.soak_in_oil_when | plugin_mod_pre_suggestion_review.soak_in_oil_when[] | plugin_mod_pre_suggestion_review.warning_must_be_shown,,934f13a06477945db57e59c3f2d2aaa209845ca06f2b59bd5f6243c39be9cac3
